,amount,payment_date,staff_last_name,customer_last_name,address,city
36,5.99,2005-07-27 15:23:02,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
37,2.99,2005-07-29 12:56:59,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
38,4.99,2005-07-30 06:06:10,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
39,2.99,2005-07-31 21:58:56,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
40,0.99,2005-08-01 09:45:26,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
41,0.99,2005-08-02 02:10:56,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
42,5.99,2005-08-02 07:41:41,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
43,6.99,2005-08-02 10:43:48,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
44,2.99,2005-08-17 03:52:18,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
45,2.99,2005-08-19 06:26:04,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
46,4.99,2005-08-21 13:24:32,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
47,4.99,2005-07-27 14:30:42,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
48,5.99,2005-07-27 18:40:20,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
49,5.99,2005-07-29 00:12:59,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
50,5.99,2005-07-29 17:14:29,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
51,10.99,2005-07-30 13:47:43,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
52,0.99,2005-07-30 14:14:11,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
53,6.99,2005-07-30 16:21:13,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
54,6.99,2005-07-30 22:39:53,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
55,2.99,2005-08-02 13:44:53,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
56,5.99,2005-08-21 22:41:56,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
57,4.99,2005-08-22 13:53:04,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
58,4.99,2005-08-23 17:39:35,Stephens,JOHNSON,1121 Loja Avenue,San Bernardino
59,1.99,2005-05-27 17:17:09,Hillyer,WILLIAMS,692 Joliet Street,Athenai
60,2.99,2005-05-29 22:43:55,Hillyer,WILLIAMS,692 Joliet Street,Athenai
61,8.99,2005-06-16 01:34:05,Hillyer,WILLIAMS,692 Joliet Street,Athenai
62,6.99,2005-06-16 15:19:10,Hillyer,WILLIAMS,692 Joliet Street,Athenai
63,2.99,2005-06-19 08:34:53,Hillyer,WILLIAMS,692 Joliet Street,Athenai
64,4.99,2005-07-07 10:23:25,Hillyer,WILLIAMS,692 Joliet Street,Athenai
65,4.99,2005-07-08 12:47:11,Hillyer,WILLIAMS,692 Joliet Street,Athenai
66,5.99,2005-07-27 04:54:42,Hillyer,WILLIAMS,692 Joliet Street,Athenai
67,4.99,2005-07-28 11:46:45,Hillyer,WILLIAMS,692 Joliet Street,Athenai
68,2.99,2005-07-29 11:07:04,Hillyer,WILLIAMS,692 Joliet Street,Athenai
69,1.99,2005-07-30 13:31:20,Hillyer,WILLIAMS,692 Joliet Street,Athenai
70,2.99,2005-07-31 03:27:58,Hillyer,WILLIAMS,692 Joliet Street,Athenai
71,8.99,2005-08-19 22:18:07,Hillyer,WILLIAMS,692 Joliet Street,Athenai
72,2.99,2005-08-23 07:10:14,Hillyer,WILLIAMS,692 Joliet Street,Athenai
73,6.99,2005-06-17 05:15:15,Stephens,WILLIAMS,692 Joliet Street,Athenai
74,10.99,2005-07-27 20:23:12,Stephens,WILLIAMS,692 Joliet Street,Athenai
75,7.99,2005-07-28 03:59:21,Stephens,WILLIAMS,692 Joliet Street,Athenai
76,6.99,2005-07-28 04:46:30,Stephens,WILLIAMS,692 Joliet Street,Athenai
77,4.99,2005-07-28 18:17:14,Stephens,WILLIAMS,692 Joliet Street,Athenai
78,3.99,2005-07-30 21:45:46,Stephens,WILLIAMS,692 Joliet Street,Athenai
79,4.99,2005-07-31 11:32:58,Stephens,WILLIAMS,692 Joliet Street,Athenai
80,5.99,2005-08-01 14:19:48,Stephens,WILLIAMS,692 Joliet Street,Athenai
81,4.99,2005-08-18 14:49:55,Stephens,WILLIAMS,692 Joliet Street,Athenai
82,2.99,2005-08-20 06:14:12,Stephens,WILLIAMS,692 Joliet Street,Athenai
83,8.99,2005-08-21 20:50:48,Stephens,WILLIAMS,692 Joliet Street,Athenai
84,0.99,2005-08-22 09:37:27,Stephens,WILLIAMS,692 Joliet Street,Athenai
85,4.99,2005-06-15 09:31:28,Hillyer,JONES,1566 Inegl Manor,Myingyan
86,0.99,2005-06-16 08:08:40,Hillyer,JONES,1566 Inegl Manor,Myingyan
87,5.99,2005-06-19 09:39:01,Hillyer,JONES,1566 Inegl Manor,Myingyan
88,2.99,2005-07-28 02:10:10,Hillyer,JONES,1566 Inegl Manor,Myingyan
89,3.99,2005-07-29 18:44:57,Hillyer,JONES,1566 Inegl Manor,Myingyan
90,5.99,2005-07-30 08:46:09,Hillyer,JONES,1566 Inegl Manor,Myingyan
91,5.99,2005-07-30 18:58:00,Hillyer,JONES,1566 Inegl Manor,Myingyan
92,2.99,2005-08-02 08:20:31,Hillyer,JONES,1566 Inegl Manor,Myingyan
93,2.99,2005-08-18 00:14:03,Hillyer,JONES,1566 Inegl Manor,Myingyan
94,2.99,2005-08-20 09:32:04,Hillyer,JONES,1566 Inegl Manor,Myingyan
95,6.99,2005-08-20 12:55:40,Hillyer,JONES,1566 Inegl Manor,Myingyan
96,2.99,2005-08-22 13:58:23,Hillyer,JONES,1566 Inegl Manor,Myingyan
97,2.99,2005-06-16 14:01:27,Stephens,JONES,1566 Inegl Manor,Myingyan
98,0.99,2005-06-16 15:51:52,Stephens,JONES,1566 Inegl Manor,Myingyan
99,0.99,2005-06-17 14:31:12,Stephens,JONES,1566 Inegl Manor,Myingyan
100,2.99,2005-07-28 04:37:59,Stephens,JONES,1566 Inegl Manor,Myingyan
101,0.99,2005-08-02 07:09:34,Stephens,JONES,1566 Inegl Manor,Myingyan
102,4.99,2005-08-17 00:28:01,Stephens,JONES,1566 Inegl Manor,Myingyan
103,8.99,2005-08-18 05:14:44,Stephens,JONES,1566 Inegl Manor,Myingyan
104,1.99,2005-08-19 02:19:13,Stephens,JONES,1566 Inegl Manor,Myingyan
105,4.99,2005-08-21 04:53:37,Stephens,JONES,1566 Inegl Manor,Myingyan
106,1.99,2005-08-23 07:43:00,Stephens,JONES,1566 Inegl Manor,Myingyan
107,0.99,2005-05-29 07:25:16,Hillyer,BROWN,53 Idfu Parkway,Nantou
108,6.99,2005-05-31 11:15:43,Hillyer,BROWN,53 Idfu Parkway,Nantou
109,1.99,2005-05-31 19:46:38,Hillyer,BROWN,53 Idfu Parkway,Nantou
110,3.99,2005-06-15 22:03:14,Hillyer,BROWN,53 Idfu Parkway,Nantou
111,4.99,2005-07-09 01:57:57,Hillyer,BROWN,53 Idfu Parkway,Nantou
112,8.99,2005-07-11 03:17:04,Hillyer,BROWN,53 Idfu Parkway,Nantou
113,3.99,2005-07-12 11:27:35,Hillyer,BROWN,53 Idfu Parkway,Nantou
114,2.99,2005-07-29 01:11:23,Hillyer,BROWN,53 Idfu Parkway,Nantou
115,1.99,2005-07-30 04:14:28,Hillyer,BROWN,53 Idfu Parkway,Nantou
116,4.99,2005-07-30 23:52:30,Hillyer,BROWN,53 Idfu Parkway,Nantou
117,3.99,2005-07-31 14:00:53,Hillyer,BROWN,53 Idfu Parkway,Nantou
118,0.99,2005-08-01 15:27:10,Hillyer,BROWN,53 Idfu Parkway,Nantou
119,4.99,2005-08-02 10:50:06,Hillyer,BROWN,53 Idfu Parkway,Nantou
120,9.99,2005-08-18 00:10:04,Hillyer,BROWN,53 Idfu Parkway,Nantou
121,2.99,2005-08-19 00:24:08,Hillyer,BROWN,53 Idfu Parkway,Nantou
122,1.99,2005-08-19 09:45:41,Hillyer,BROWN,53 Idfu Parkway,Nantou
123,6.99,2005-08-21 11:31:11,Hillyer,BROWN,53 Idfu Parkway,Nantou
124,2.99,2005-06-16 08:01:02,Stephens,BROWN,53 Idfu Parkway,Nantou
125,4.99,2005-06-17 15:56:53,Stephens,BROWN,53 Idfu Parkway,Nantou
126,2.99,2005-06-19 04:20:13,Stephens,BROWN,53 Idfu Parkway,Nantou
127,4.99,2005-06-20 18:38:22,Stephens,BROWN,53 Idfu Parkway,Nantou
128,4.99,2005-07-06 09:11:58,Stephens,BROWN,53 Idfu Parkway,Nantou
129,2.99,2005-07-08 20:04:43,Stephens,BROWN,53 Idfu Parkway,Nantou
130,5.99,2005-07-09 07:13:52,Stephens,BROWN,53 Idfu Parkway,Nantou
131,1.99,2005-07-09 08:51:42,Stephens,BROWN,53 Idfu Parkway,Nantou
132,0.99,2005-07-10 11:09:35,Stephens,BROWN,53 Idfu Parkway,Nantou
133,4.99,2005-07-12 12:16:28,Stephens,BROWN,53 Idfu Parkway,Nantou
134,0.99,2005-07-27 12:37:28,Stephens,BROWN,53 Idfu Parkway,Nantou
135,0.99,2005-07-28 01:50:29,Stephens,BROWN,53 Idfu Parkway,Nantou
136,3.99,2005-07-28 08:43:39,Stephens,BROWN,53 Idfu Parkway,Nantou
137,4.99,2005-08-01 14:48:45,Stephens,BROWN,53 Idfu Parkway,Nantou
138,4.99,2005-08-02 04:56:45,Stephens,BROWN,53 Idfu Parkway,Nantou
139,3.99,2005-08-17 16:28:53,Stephens,BROWN,53 Idfu Parkway,Nantou
140,0.99,2005-08-20 15:16:18,Stephens,BROWN,53 Idfu Parkway,Nantou
141,6.99,2005-08-20 22:13:59,Stephens,BROWN,53 Idfu Parkway,Nantou
142,2.99,2005-08-21 14:02:50,Stephens,BROWN,53 Idfu Parkway,Nantou
143,0.99,2005-08-22 17:37:02,Stephens,BROWN,53 Idfu Parkway,Nantou
144,0.99,2006-02-14 15:16:03,Stephens,BROWN,53 Idfu Parkway,Nantou
145,2.99,2005-05-28 11:09:14,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
146,3.99,2005-06-16 03:41:38,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
147,0.99,2005-06-17 09:19:45,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
148,0.99,2005-06-18 12:03:23,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
149,0.99,2005-07-10 03:03:35,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
150,7.99,2005-07-11 15:01:54,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
151,0.99,2005-07-28 18:47:23,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
152,2.99,2005-08-01 03:13:39,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
153,2.99,2005-08-02 05:36:38,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
154,3.99,2005-08-02 18:55:15,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
155,6.99,2005-08-17 02:29:41,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
156,0.99,2005-08-17 08:12:20,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
157,0.99,2005-08-17 13:39:32,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
158,7.99,2005-08-21 08:22:56,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
159,4.99,2005-08-21 09:49:28,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
160,5.99,2005-08-23 02:51:24,Hillyer,DAVIS,1795 Santiago de Compostela Way,Laredo
161,4.99,2005-05-25 08:43:32,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
162,0.99,2005-05-30 11:25:01,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
163,2.99,2005-06-16 23:44:13,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
164,0.99,2005-07-06 23:14:21,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
165,2.99,2005-07-07 14:53:24,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
166,5.99,2005-07-11 12:39:01,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
167,0.99,2005-07-12 12:18:38,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
168,2.99,2005-07-27 05:03:44,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
169,2.99,2005-07-27 06:38:25,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
170,2.99,2005-08-18 04:05:29,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
171,6.99,2005-08-20 00:18:25,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
172,0.99,2005-08-23 06:41:32,Stephens,DAVIS,1795 Santiago de Compostela Way,Laredo
173,4.99,2005-05-30 21:07:15,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
174,5.99,2005-05-31 08:44:29,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
175,2.99,2005-06-18 05:03:36,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
176,0.99,2005-06-19 14:00:26,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
177,4.99,2005-06-20 01:50:56,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
178,0.99,2005-06-20 10:11:53,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
179,4.99,2005-07-08 18:47:38,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
180,8.99,2005-07-09 21:52:05,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
181,7.99,2005-07-10 21:35:12,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
182,1.99,2005-07-11 10:36:28,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
183,2.99,2005-07-11 17:30:58,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
184,5.99,2005-08-01 08:19:53,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
185,4.99,2005-08-01 11:39:26,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
186,8.99,2005-08-18 07:57:14,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
187,2.99,2005-08-18 21:55:01,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
188,2.99,2005-08-20 01:06:04,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
189,0.99,2005-08-20 05:53:31,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
190,5.99,2005-08-21 04:49:48,Hillyer,MILLER,900 Santiago de Compostela Parkway,Kragujevac
191,5.99,2005-05-25 06:04:08,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
192,0.99,2005-05-25 19:30:46,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
193,2.99,2005-05-29 09:27:00,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
194,0.99,2005-06-16 21:06:00,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
195,5.99,2005-07-06 07:09:17,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
196,2.99,2005-07-07 13:22:20,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
197,5.99,2005-07-08 16:16:04,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
198,3.99,2005-07-12 15:17:42,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
199,5.99,2005-07-29 07:02:55,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
200,7.99,2005-07-31 04:30:03,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
201,6.99,2005-08-01 04:57:04,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
202,4.99,2005-08-01 15:52:00,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
203,3.99,2005-08-02 04:40:54,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
204,7.99,2005-08-17 00:51:32,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
205,2.99,2005-08-19 21:23:31,Stephens,MILLER,900 Santiago de Compostela Parkway,Kragujevac
206,5.99,2005-06-17 18:21:35,Hillyer,WILSON,478 Joliet Way,Hamilton
207,5.99,2005-07-05 23:01:21,Hillyer,WILSON,478 Joliet Way,Hamilton
208,0.99,2005-07-07 00:09:02,Hillyer,WILSON,478 Joliet Way,Hamilton
209,3.99,2005-07-08 02:17:12,Hillyer,WILSON,478 Joliet Way,Hamilton
210,2.99,2005-07-09 15:40:46,Hillyer,WILSON,478 Joliet Way,Hamilton
211,4.99,2005-07-11 21:39:46,Hillyer,WILSON,478 Joliet Way,Hamilton
212,0.99,2005-07-12 10:43:53,Hillyer,WILSON,478 Joliet Way,Hamilton
213,1.99,2005-07-29 21:42:49,Hillyer,WILSON,478 Joliet Way,Hamilton
214,9.99,2005-08-02 13:04:12,Hillyer,WILSON,478 Joliet Way,Hamilton
215,2.99,2005-08-18 17:16:01,Hillyer,WILSON,478 Joliet Way,Hamilton
216,0.99,2005-08-21 01:07:11,Hillyer,WILSON,478 Joliet Way,Hamilton
217,7.99,2005-08-22 22:09:09,Hillyer,WILSON,478 Joliet Way,Hamilton
218,2.99,2005-08-23 13:05:10,Hillyer,WILSON,478 Joliet Way,Hamilton
219,4.99,2005-08-23 14:31:19,Hillyer,WILSON,478 Joliet Way,Hamilton
220,6.99,2005-05-30 03:43:54,Stephens,WILSON,478 Joliet Way,Hamilton
221,2.99,2005-06-15 09:59:16,Stephens,WILSON,478 Joliet Way,Hamilton
222,4.99,2005-06-20 17:57:47,Stephens,WILSON,478 Joliet Way,Hamilton
223,2.99,2005-07-07 10:02:03,Stephens,WILSON,478 Joliet Way,Hamilton
224,3.99,2005-07-07 21:47:29,Stephens,WILSON,478 Joliet Way,Hamilton
225,2.99,2005-07-09 17:13:23,Stephens,WILSON,478 Joliet Way,Hamilton
226,2.99,2005-07-31 04:54:43,Stephens,WILSON,478 Joliet Way,Hamilton
227,0.99,2005-07-31 22:08:29,Stephens,WILSON,478 Joliet Way,Hamilton
228,2.99,2005-08-01 13:05:35,Stephens,WILSON,478 Joliet Way,Hamilton
229,2.99,2005-08-02 14:42:45,Stephens,WILSON,478 Joliet Way,Hamilton
230,2.99,2005-07-07 23:37:00,Hillyer,MOORE,613 Korolev Drive,Masqat
231,1.99,2005-07-08 16:35:44,Hillyer,MOORE,613 Korolev Drive,Masqat
232,2.99,2005-07-10 07:45:40,Hillyer,MOORE,613 Korolev Drive,Masqat
233,5.99,2005-07-11 10:17:29,Hillyer,MOORE,613 Korolev Drive,Masqat
234,2.99,2005-07-28 07:51:56,Hillyer,MOORE,613 Korolev Drive,Masqat
235,4.99,2005-07-30 06:34:07,Hillyer,MOORE,613 Korolev Drive,Masqat
236,0.99,2005-08-01 09:11:25,Hillyer,MOORE,613 Korolev Drive,Masqat
237,4.99,2005-08-01 09:14:00,Hillyer,MOORE,613 Korolev Drive,Masqat
238,0.99,2005-08-17 01:11:53,Hillyer,MOORE,613 Korolev Drive,Masqat
239,2.99,2005-08-18 03:08:10,Hillyer,MOORE,613 Korolev Drive,Masqat
240,2.99,2005-08-18 05:58:40,Hillyer,MOORE,613 Korolev Drive,Masqat
241,4.99,2006-02-14 15:16:03,Hillyer,MOORE,613 Korolev Drive,Masqat
242,4.99,2005-05-27 05:01:28,Stephens,MOORE,613 Korolev Drive,Masqat
243,0.99,2005-05-30 05:48:59,Stephens,MOORE,613 Korolev Drive,Masqat
244,4.99,2005-05-31 10:13:34,Stephens,MOORE,613 Korolev Drive,Masqat
245,7.99,2005-06-20 19:59:28,Stephens,MOORE,613 Korolev Drive,Masqat
246,4.99,2005-06-21 04:08:43,Stephens,MOORE,613 Korolev Drive,Masqat
247,0.99,2005-07-08 13:59:38,Stephens,MOORE,613 Korolev Drive,Masqat
248,4.99,2005-07-11 02:08:29,Stephens,MOORE,613 Korolev Drive,Masqat
249,0.99,2005-07-28 00:15:26,Stephens,MOORE,613 Korolev Drive,Masqat
250,5.99,2005-08-02 19:00:52,Stephens,MOORE,613 Korolev Drive,Masqat
251,4.99,2005-08-18 18:48:58,Stephens,MOORE,613 Korolev Drive,Masqat
252,7.99,2005-08-21 13:53:59,Stephens,MOORE,613 Korolev Drive,Masqat
253,4.99,2005-06-16 20:21:53,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
254,4.99,2005-06-17 11:11:14,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
255,0.99,2005-06-19 20:01:59,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
256,0.99,2005-06-20 00:00:55,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
257,1.99,2005-07-07 14:14:13,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
258,7.99,2005-07-09 03:12:52,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
259,0.99,2005-07-09 21:58:57,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
260,2.99,2005-07-10 20:41:09,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
261,2.99,2005-07-28 05:21:42,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
262,4.99,2005-07-31 15:27:07,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
263,0.99,2005-08-02 19:13:39,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
264,5.99,2005-08-22 21:59:29,Hillyer,TAYLOR,1531 Sal Drive,Esfahan
265,4.99,2005-05-31 19:36:30,Stephens,TAYLOR,1531 Sal Drive,Esfahan
266,3.99,2005-06-18 03:26:23,Stephens,TAYLOR,1531 Sal Drive,Esfahan
267,3.99,2005-07-06 14:13:45,Stephens,TAYLOR,1531 Sal Drive,Esfahan
268,4.99,2005-07-07 03:06:40,Stephens,TAYLOR,1531 Sal Drive,Esfahan
269,2.99,2005-07-09 04:53:18,Stephens,TAYLOR,1531 Sal Drive,Esfahan
270,6.99,2005-07-28 15:10:55,Stephens,TAYLOR,1531 Sal Drive,Esfahan
271,4.99,2005-07-28 22:34:12,Stephens,TAYLOR,1531 Sal Drive,Esfahan
272,8.99,2005-08-01 17:09:59,Stephens,TAYLOR,1531 Sal Drive,Esfahan
273,2.99,2005-08-02 14:55:00,Stephens,TAYLOR,1531 Sal Drive,Esfahan
274,2.99,2005-08-17 20:11:35,Stephens,TAYLOR,1531 Sal Drive,Esfahan
275,2.99,2005-08-18 09:19:12,Stephens,TAYLOR,1531 Sal Drive,Esfahan
276,4.99,2005-08-19 19:23:30,Stephens,TAYLOR,1531 Sal Drive,Esfahan
277,2.99,2005-08-20 16:43:28,Stephens,TAYLOR,1531 Sal Drive,Esfahan
278,6.99,2005-05-30 22:59:12,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
279,6.99,2005-06-15 20:53:07,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
280,7.99,2005-06-17 07:26:45,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
281,0.99,2005-06-20 23:49:12,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
282,4.99,2005-07-08 22:43:05,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
283,4.99,2005-07-27 13:13:32,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
284,4.99,2005-07-28 15:32:07,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
285,0.99,2005-07-29 17:33:45,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
286,9.99,2005-07-30 03:17:13,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
287,4.99,2005-08-01 22:41:16,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
288,4.99,2005-08-20 12:17:27,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
289,0.99,2005-08-22 12:42:47,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
290,0.99,2006-02-14 15:16:03,Hillyer,ANDERSON,1542 Tarlac Parkway,Sagamihara
291,2.99,2005-07-08 07:19:11,Stephens,ANDERSON,1542 Tarlac Parkway,Sagamihara
